Indice,Valor_Embedding
280,-0.05164329335093498
281,0.07139788568019867
282,-0.10259620100259781
283,0.05194849148392677
284,0.051556676626205444
285,0.0434890016913414
286,-0.08227773010730743
287,0.19911694526672363
288,-0.22115376591682434
289,-0.023785976693034172
290,-0.4005715250968933
291,-0.04720168560743332
292,-0.11944951862096786
293,-0.17082922160625458
294,0.11600210517644882
295,-0.07914265245199203
296,0.1379951536655426
297,-0.21372178196907043
298,-0.2855648100376129
299,0.20921385288238525
300,0.1089252233505249
301,-0.2661314308643341
302,0.14633139967918396
303,0.10576814413070679
304,0.12566494941711426
305,-0.13088728487491608
306,-0.0507313497364521
307,0.3531551957130432
308,-0.324537992477417
309,0.051094863563776016
310,-0.11318695545196533
311,0.1829266995191574
312,0.14317889511585236
313,-0.3428066372871399
314,0.23603320121765137
315,0.3061814308166504
316,0.38717830181121826
317,-0.13237948715686798
318,-0.0380186103284359
319,-0.1716281920671463
320,0.011139614507555962
321,0.08305881172418594
322,0.35800671577453613
323,-0.06711066514253616
324,0.17743146419525146
325,-0.020363081246614456
326,0.13939087092876434
327,-0.01188088022172451
328,0.08716602623462677
329,-0.09672703593969345
330,-0.13495424389839172
331,-0.31420275568962097
332,-0.10182269662618637
333,0.14046823978424072
334,-0.151155486702919
335,-0.064977265894413
336,-0.13987651467323303
337,0.31660857796669006
338,0.2451539933681488
339,0.16555336117744446
340,-0.1750655472278595
341,0.03602815419435501
342,-0.12650255858898163
343,0.2616453468799591
344,0.14725778996944427
345,0.11698529869318008
346,0.3749648928642273
347,-0.36702460050582886
348,0.23592185974121094
349,0.3349517583847046
350,-0.03898206353187561
351,-0.09309370070695877
352,-0.16696827113628387
353,0.18415625393390656
354,-0.03669310361146927
355,-0.10992839932441711
356,-0.06135544180870056
357,0.19850973784923553
358,-0.07601933181285858
359,-0.04747474566102028
360,0.12911465764045715
361,-0.016464415937662125
362,-0.2740646004676819
363,0.04965757578611374
364,0.4127286672592163
365,-0.13766242563724518
366,0.0014878008514642715
367,0.026706654578447342
368,-0.12383609265089035
369,-0.0812523141503334
370,0.228328138589859
371,0.010283837094902992
372,0.06268676370382309
373,0.4206530451774597
374,-0.014482342638075352
375,-0.1938852071762085
376,0.04394923895597458
377,-0.03799283877015114
378,-0.030262038111686707
379,-0.10899724811315536
380,-0.11275134235620499
381,0.021406296640634537
382,-0.25225740671157837
383,-0.05366852879524231
384,0.1296136975288391
385,0.042375482618808746
386,-0.028826609253883362
387,0.26634588837623596
388,0.1763790249824524
389,-0.1238471269607544
390,0.028744656592607498
391,-0.1650897115468979
392,-0.24833491444587708
393,-0.0024971067905426025
394,-0.0360313281416893
395,0.0172224473208189
396,0.2742323577404022
397,-0.09217330813407898
398,-0.13423258066177368
399,-0.03653409704566002
400,0.27094772458076477
401,-0.020703580230474472
402,0.05894109979271889
403,-0.13778524100780487
404,0.09399561583995819
